sport;year;state;gp;bp;gr;br;Row ;Column
Volleyball;2018/2019;AK;1907;327;0,1882713;0,02882327;0;0,5
Basketball;2018/2019;AK;1513;1920;0,149373087;0,16923755;0;0,5
Track and Field -- Outdoor;2018/2019;AK;961;1225;0,094876098;0,107977082;0;0,5
Soccer;2018/2019;AK;960;929;0,094777372;0,081886294;0;0,5
Cross Country;2018/2019;AK;791;1003;0,078092605;0,088408991;0;0,5
Softball -- Fast Pitch;2018/2019;AK;767;2;0,075723171;0,000176289;0;0,5
Mixed 6-Coed Volleyball;2018/2019;AK;600;327;0,059235857;0,02882327;0;0,5
Flag Football;2018/2019;AK;475;0;0,046895054;0;0;0,5
Swimming & Diving;2018/2019;AK;466;398;0,046006516;0,035081534;0;0,5
Wrestling;2018/2019;AK;347;1249;0,034258071;0,110092552;0;0,5
Skiing -- Cross Country;2018/2019;AK;324;582;0,031987363;0,051300132;0;0,5
Tennis;2018/2019;AK;225;205;0,022213447;0,018069634;0;0,5
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;AK;209;25;0,020633824;0,002203614;0;0,5
Canoe Paddling;2018/2019;AK;154;6;0,01520387;0,000528867;0;0,5
Bowling;2018/2019;AK;110;110;0,010859907;0,009695901;0;0,5
Gymnastics;2018/2019;AK;103;0;0,010168822;0;0;0,5
Riflery;2018/2019;AK;56;140;0,00552868;0,012340238;0;0,5
Football -- 11-Player;2018/2019;AK;52;1564;0,005133774;0,137858087;0;0,5
Dance Team, Jazz;2018/2019;AK;50;0;0,004936321;0;0;0,5
Ice Hockey;2018/2019;AK;40;614;0,003949057;0,054120758;0;0,5
Baseball;2018/2019;AK;16;717;0,001579623;0,063199647;0;0,5
Dance/Drill;2018/2019;AK;3;2;0,000296179;0,000176289;0;0,5
Cycling;2018/2019;AK;0;0;0;0;0;0,5
Kayaking;2018/2019;AK;0;0;0;0;0;0,5
Figure Skating;2018/2019;AK;0;0;0;0;0;0,5
Water Polo;2018/2019;AK;0;0;0;0;0;0,5
Golf;2018/2019;AK;0;0;0;0;0;0,5
Adapted Floor Hockey;2018/2019;AK;0;0;0;0;0;0,5
Sand Volleyball;2018/2019;AK;0;0;0;0;0;0,5
Archery;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Strength Training;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Handball;2018/2019;AK;0;0;0;0;0;0,5
Bass Fishing;2018/2019;AK;0;0;0;0;0;0,5
Crew;2018/2019;AK;0;0;0;0;0;0,5
Skiing -- Alpine;2018/2019;AK;0;0;0;0;0;0,5
Football -- 6-player;2018/2019;AK;0;0;0;0;0;0,5
Team Tennis;2018/2019;AK;0;0;0;0;0;0,5
Mt. Biking;2018/2019;AK;0;0;0;0;0;0,5
Rodeo;2018/2019;AK;0;0;0;0;0;0,5
Heptathlon;2018/2019;AK;0;0;0;0;0;0,5
Rock Climbing;2018/2019;AK;0;0;0;0;0;0,5
Trap Shooting;2018/2019;AK;0;0;0;0;0;0,5
Dance;2018/2019;AK;0;0;0;0;0;0,5
Drill Team;2018/2019;AK;0;0;0;0;0;0,5
Decathlon;2018/2019;AK;0;0;0;0;0;0,5
Dance Team, High Kick;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Corn Toss;2018/2019;AK;0;0;0;0;0;0,5
Sailing;2018/2019;AK;0;0;0;0;0;0,5
Unified Flag Football;2018/2019;AK;0;0;0;0;0;0,5
Adapted Football;2018/2019;AK;0;0;0;0;0;0,5
Track and Field -- Indoor;2018/2019;AK;0;0;0;0;0;0,5
Adapted Volleyball;2018/2019;AK;0;0;0;0;0;0,5
Beach Volleyball;2018/2019;AK;0;0;0;0;0;0,5
Weight Lifting;2018/2019;AK;0;0;0;0;0;0,5
Judo;2018/2019;AK;0;0;0;0;0;0,5
Adapted Soccer;2018/2019;AK;0;0;0;0;0;0,5
Adapted Track;2018/2019;AK;0;0;0;0;0;0,5
Native Youth Olympics;2018/2019;AK;0;0;0;0;0;0,5
Badminton;2018/2019;AK;0;0;0;0;0;0,5
Adapted Bocce - Indoor;2018/2019;AK;0;0;0;0;0;0,5
Squash;2018/2019;AK;0;0;0;0;0;0,5
Bocce - Outdoor;2018/2019;AK;0;0;0;0;0;0,5
Rythmic Gymnastics;2018/2019;AK;0;0;0;0;0;0,5
Ultimate Frisbee;2018/2019;AK;0;0;0;0;0;0,5
Martial Arts;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Tennis;2018/2019;AK;0;0;0;0;0;0,5
Lacrosse;2018/2019;AK;0;0;0;0;0;0,5
Soft Tennis;2018/2019;AK;0;0;0;0;0;0,5
Adapted Softball;2018/2019;AK;0;0;0;0;0;0,5
Equestrian;2018/2019;AK;0;0;0;0;0;0,5
Unified Track and Field -- Outdoor;2018/2019;AK;0;0;0;0;0;0,5
Air Riflery;2018/2019;AK;0;0;0;0;0;0,5
Adapted Bowling;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Golf;2018/2019;AK;0;0;0;0;0;0,5
Softball -- Slow Pitch;2018/2019;AK;0;0;0;0;0;0,5
Fencing;2018/2019;AK;0;0;0;0;0;0,5
