state;sport;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
AL;Adaptive Corn Toss;;;;;;;;;;;;;;;0;0;0
AL;Bocce - Outdoor;;;;;;;;;;;;;;0;0;0;0
AL;Canoe Paddling;;;;;;;;;;;;;0;0;0;0;0
AL;Cycling;;;;;;;;;;;;;;0;0;0;0
AL;Dance/Drill;;;;;;;;0;0;0;0;0;0;0;0;0;0
AL;Equestrian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AL;Martial Arts;;;;;;;;;;;;;;;0;0;0
AL;Sand Volleyball;;;;;;;;;;;;;;;0;0;0
AL;Squash;;;;;;;;;;;;;;;0;0;0
AK;Baseball;34;7;6;37;2;2;6;0;0;5;7;11;12;12;8;14;16
AK;Judo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AK;Snowboarding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AK;Surfing;;;;;;;;0;0;0;0;0;0;0;0;0;0
AK;Tennis;159;166;195;241;193;242;230;273;217;210;223;211;211;214;216;209;225
AK;Unified Track and Field -- Outdoor;;;;;;;;;;;;;;;0;0;0
AZ;Adapted Softball;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AZ;Archery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AZ;Football -- 6-player;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR;Air Riflery;;;;;;;;0;0;0;0;0;0;0;0;0;14
AR;Bocce - Outdoor;;;;;;;;;;;;;;0;0;0;0
AR;Dance Team, Jazz;;;;;;;;0;0;0;0;0;0;0;0;0;0
AR;Gymnastics;106;139;119;160;73;145;71;87;109;44;27;73;74;94;53;64;25
AR;Lacrosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
AR;Sailing;;;;;;;;;;;;;;;;;0
CA;Adapted Football;;;;;;;;;;;;;;;;;0
CA;Ice Hockey;0;0;0;0;0;0;3;3;0;73;249;48;45;13;21;24;29
CA;Sailing;;;;;;;;;;;;;;;;;120
CA;Team Tennis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO;Adapted Football;;;;;;;;;;;;;;;;;0
CO;Football -- 11-Player;39;16;50;0;59;15;0;38;29;117;44;216;35;109;53;141;141
CO;Martial Arts;;;;;;;;;;;;;;;0;0;0
CO;Riflery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO;Skiing -- Cross Country;150;150;150;81;106;122;78;54;79;80;89;76;100;144;118;118;103
CO;Water Polo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CT;Adapted Bowling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CT;Adapted Floor Hockey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CT;Bass Fishing;;;;;;;;;;;;;;;;0;0
CT;Beach Volleyball;;;;;;;;;;;;;;;;0;0
CT;Native Youth Olympics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CT;Sailing;;;;;;;;;;;;;;;;;0
CT;Skiing -- Alpine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DC;Competitive Spirit* (Boys who cheer/Girls who cheer);;;;;;;;;;;;;;;;;229
DC;Judo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DC;Rodeo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DC;Softball -- Slow Pitch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DC;Unified Basketball;;;;;;;;;;;;;;;;;0
DC;Water Polo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DE;Adapted Floor Hockey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DE;Badminton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DE;Skiing -- Cross Country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DE;Squash;;;;;;;;;;;;;;0;0;0;28
FL;Football -- 9-player;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FL;Sand Volleyball;;;;;;;;;;;;;;0;0;0;0
FL;Softball -- Slow Pitch;916;884;776;93;765;659;708;0;0;0;0;0;0;0;0;0;0
FL;Ultimate Frisbee;;;;;;;;;;;;;;0;0;0;0
GA;Dance;;;;;;;;;;;;;;;;;0
GA;Drill Team;;;;;;;;2724;2724;2653;2952;2741;2741;2656;2619;2276;0
GA;Football -- 9-player;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GA;Track and Field -- Indoor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HI;Football -- 6-player;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HI;Unified Track and Field -- Outdoor;;;;;;;;;;;;;;;32;32;32
ID;Adaptive Golf;;;;;;;;;;;;;;;0;0;0
ID;Adaptive Handball;;;;;;;;;;;;;;;0;0;0
ID;Canoe Paddling;;;;;;;;;;;;;0;0;0;0;0
IL;Adapted Basketball;;;;;;;;0;0;0;0;0;0;0;0;0;0
IL;Drill Team;;;;;;;;0;0;0;0;0;0;0;0;0;0
IL;Trap Shooting;;;;;;;;;;;;;;0;0;0;0
IL;Ultimate Frisbee;;;;;;;;;;;;;;0;0;0;0
IN;Dance/Drill;;;;;;;;0;0;0;0;0;0;0;0;0;0
IN;Fencing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IN;Football -- 6-player;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IN;Sand Volleyball;;;;;;;;;;;;;;;0;0;0
IN;Team Tennis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IA;Adapted Track;;;;;;;;0;0;0;0;0;0;0;0;0;0
IA;Baseball;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;15;0
IA;Crew;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IA;Dance/Drill;;;;;;;;0;0;0;0;0;0;0;0;0;0
IA;Football -- 8-player;11;11;11;1;1;1;3;22;46;5;3;6;3;8;9;5;5
IA;Rythmic Gymnastics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IA;Squash;;;;;;;;;;;;;;;0;0;0
IA;Swimming & Diving;1696;1671;1688;1500;1526;1632;1725;1620;1561;1531;1671;1710;1639;1530;1659;1668;1647
IA;Unified Flag Football;;;;;;;;;;;;;;;;0;0
KS;Adapted Basketball;;;;;;;;0;0;0;0;0;0;0;0;0;0
KS;Basketball;8080;8145;7975;7883;7803;7257;7282;7130;7168;7090;6987;6827;6833;7004;6931;6625;6530
KS;Cross Country;2386;2419;2432;2317;2432;2597;2721;2827;2870;2898;2953;2977;2990;3118;2785;2898;2816
KS;Decathlon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KS;Football -- 9-player;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KS;Riflery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KS;Rodeo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KS;Sand Volleyball;;;;;;;;;;;;;;;0;0;0
KS;Volleyball;9359;9486;9425;8654;9425;9156;8849;8710;8761;8617;8617;8773;8749;8956;8611;8372;8278
KY;Dance Team, High Kick;;;;;;;;0;0;0;0;0;0;0;0;0;0
KY;Football -- 11-Player;21;21;14;14;14;10;10;10;10;14;54;13;13;31;35;33;42
KY;Golf;1379;1379;1136;1364;1339;1287;1287;1287;1287;1344;1338;1367;1270;1246;1230;1183;1192
KY;Snowboarding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KY;Volleyball;4584;4584;5325;5392;5414;5452;5452;5452;5452;6147;6260;6125;5871;6366;6272;6221;6264
KY;Water Polo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA;Cycling;;;;;;;;;;;;;;0;0;0;0
LA;Rock Climbing;;;;;;;;;;;;;;;0;0;0
LA;Skiing -- Alpine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA;Snowboarding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ME;Adapted Bocce - Indoor;;;;;;;;;;;;;;0;0;0;0
ME;Adapted Floor Hockey;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
ME;Adaptive Corn Toss;;;;;;;;;;;;;;;0;0;0
ME;Adaptive Strength Training;;;;;;;;;;;;;;;0;0;0
ME;Cross Country;951;968;1004;1030;1052;1138;1038;1040;1127;1012;1111;1091;1076;1082;1157;1215;971
ME;Kayaking;;;;;;;;0;0;0;0;0;0;0;0;0;0
ME;Skiing -- Cross Country;305;283;316;261;292;288;268;319;342;298;359;302;324;296;246;268;210
ME;Trap Shooting;;;;;;;;;;;;;;;0;0;0
ME;Unified Track and Field -- Outdoor;;;;;;;;;;;;;;;;0;6
MD;Adapted Soccer;0;0;0;0;0;0;0;0;0;92;162;150;137;131;198;140;131
MD;Bass Fishing;;;;;;;;;;;;;;;;0;0
MD;Dance;;;;;;;;;;;;;;;;;0
MD;Drill Team;;;;;;;;0;0;0;0;0;0;0;0;0;0
MD;Ultimate Frisbee;;;;;;;;;;;;;;0;0;0;0
MA;Canoe Paddling;;;;;;;;;;;;;0;0;0;0;0
MA;Crew;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MA;Dance;;;;;;;;;;;;;;;;;0
MA;Dance Team, High Kick;;;;;;;;0;0;0;0;0;0;0;0;0;0
MA;Equestrian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MA;Track and Field -- Outdoor;10763;10443;11115;11655;11664;11438;11313;12821;12374;11990;12517;12913;13239;13761;13503;13322;13415
MA;Ultimate Frisbee;;;;;;;;;;;;;;0;0;0;0
MI;Adapted Football;;;;;;;;;;;;;;;;;0
MI;Badminton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
MI;Mt. Biking;;;;;;;;0;0;0;0;0;0;0;0;0;0
MI;Track and Field -- Indoor;538;316;531;545;944;242;261;380;347;212;0;0;0;346;429;553;275
MI;Ultimate Frisbee;;;;;;;;;;;;;;0;0;31;40
MI;Weight Lifting;325;339;221;331;235;809;573;609;412;515;561;799;871;727;1047;1043;753
MN;Archery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MS;Adaptive Handball;;;;;;;;;;;;;;0;0;0;0
MS;Adaptive Strength Training;;;;;;;;;;;;;;0;0;0;0
MS;Canoe Paddling;;;;;;;;;;;;;0;0;0;0;0
MS;Figure Skating;;;;;;;;;;;;;;0;0;0;0
MS;Judo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MS;Ultimate Frisbee;;;;;;;;;;;;;;0;0;0;0
MO;Dance Team, Jazz;;;;;;;;0;0;0;0;0;0;0;0;0;0
MO;Field Hockey;1114;1178;1261;1243;0;0;1217;1049;898;1127;1094;1053;1108;1120;1142;1142;1138
MO;Ice Hockey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MO;Rock Climbing;;;;;;;;;;;;;;0;0;0;0
MT;Adapted Floor Hockey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MT;Badminton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MT;Beach Volleyball;;;;;;;;;;;;;;;;0;0
MT;Dance/Drill;;;;;;;;0;0;0;0;0;0;0;0;0;0
MT;Figure Skating;;;;;;;;;;;;;;0;0;0;0
NE;Adapted Bocce - Indoor;;;;;;;;;;;;;;0;0;0;0
NE;Adapted Track;;;;;;;;0;0;0;0;0;0;0;0;0;24
NE;Decathlon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NE;Fencing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NE;Sand Volleyball;;;;;;;;;;;;;;;0;0;0
NE;Skiing -- Alpine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NE;Snowboarding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NE;Softball -- Fast Pitch;2155;2237;2161;2208;2254;2313;2389;2319;2415;2440;2403;2504;2576;2574;2753;2696;2665
